id,lebel
0,__label__1
1,__label__2
2,__label__2
3,__label__3
4,__label__3
5,__label__3
6,__label__4
7,__label__1
8,__label__2
9,__label__5
10,__label__5
11,__label__1
12,__label__6
13,__label__1
14,__label__3
15,__label__3
16,__label__1
17,__label__3
18,__label__3
19,__label__4
20,__label__4
21,__label__5
22,__label__5
23,__label__5
24,__label__5
25,__label__5
26,__label__5
27,__label__5
28,__label__1
29,__label__3
30,__label__1
31,__label__4
32,__label__4
33,__label__1
34,__label__5
35,__label__1
36,__label__2
37,__label__1
38,__label__1
39,__label__1
40,__label__1
41,__label__1
42,__label__1
43,__label__5
44,__label__2
45,__label__2
46,__label__7
47,__label__1
48,__label__1
49,__label__1
50,__label__1
51,__label__3
52,__label__3
53,__label__1
54,__label__5
55,__label__3
56,__label__1
57,__label__3
58,__label__4
59,__label__1
60,__label__5
61,__label__3
62,__label__4
63,__label__8
64,__label__1
65,__label__1
66,__label__2
67,__label__2
68,__label__2
69,__label__1
70,__label__7
71,__label__2
72,__label__1
73,__label__5
74,__label__5
75,__label__1
76,__label__1
77,__label__1
78,__label__1
79,__label__2
80,__label__5
81,__label__3
82,__label__1
83,__label__4
84,__label__4
85,__label__1
86,__label__4
87,__label__1
88,__label__2
89,__label__5
90,__label__5
91,__label__5
92,__label__1
93,__label__2
94,__label__2
95,__label__2
96,__label__5
97,__label__8
98,__label__3
99,__label__1
100,__label__3
101,__label__2
102,__label__3
103,__label__1
104,__label__3
105,__label__3
106,__label__3
107,__label__1
108,__label__3
109,__label__1
110,__label__2
111,__label__4
112,__label__4
113,__label__5
114,__label__5
115,__label__5
116,__label__5
117,__label__8
118,__label__1
119,__label__3
120,__label__3
121,__label__1
122,__label__2
123,__label__1
124,__label__1
125,__label__1
126,__label__4
127,__label__1
128,__label__2
129,__label__1
130,__label__1
131,__label__8
132,__label__8
133,__label__8
134,__label__8
135,__label__2
136,__label__3
137,__label__1
138,__label__2
139,__label__4
140,__label__2
141,__label__1
142,__label__2
143,__label__2
144,__label__2
145,__label__2
146,__label__2
147,__label__1
148,__label__1
149,__label__5
150,__label__5
151,__label__1
152,__label__1
153,__label__1
154,__label__1
155,__label__1
156,__label__5
157,__label__1
158,__label__2
159,__label__2
160,__label__6
161,__label__1
162,__label__2
163,__label__2
164,__label__2
165,__label__5
166,__label__7
167,__label__1
168,__label__6
169,__label__2
170,__label__1
171,__label__1
172,__label__1
173,__label__1
174,__label__1
175,__label__1
176,__label__3
177,__label__3
178,__label__1
179,__label__1
180,__label__2
181,__label__2
182,__label__5
183,__label__9
184,__label__5
185,__label__5
186,__label__5
187,__label__3
188,__label__5
189,__label__3
190,__label__3
191,__label__3
192,__label__1
193,__label__1
194,__label__3
195,__label__3
196,__label__8
197,__label__1
198,__label__1
199,__label__2
200,__label__4
201,__label__4
202,__label__5
203,__label__5
204,__label__1
205,__label__1
206,__label__3
207,__label__3
208,__label__3
209,__label__1
210,__label__1
211,__label__1
212,__label__4
213,__label__4
214,__label__3
215,__label__3
216,__label__4
217,__label__4
218,__label__4
219,__label__4
220,__label__7
221,__label__5
222,__label__5
223,__label__9
224,__label__1
225,__label__8
226,__label__1
227,__label__1
228,__label__1
229,__label__1
230,__label__4
231,__label__4
232,__label__2
233,__label__1
234,__label__1
235,__label__2
236,__label__2
237,__label__2
238,__label__1
239,__label__5
240,__label__8
241,__label__1
242,__label__2
243,__label__3
244,__label__1
245,__label__1
246,__label__3
247,__label__2
248,__label__1
249,__label__2
250,__label__2
251,__label__2
252,__label__1
253,__label__5
254,__label__5
255,__label__5
256,__label__1
